sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1138pool28	870	193	356133	66	4	51	750462
BdM1146pool08	61	35	37018	11	7	27	71561
BdM1151pool08	80	43	39258	18	33	15	80923
BdM1148pool08	35	12	12318	5	0	3	24903
BdM1147pool28	12	6	20530	1	0	10	67843
BdM1146pool28	49	147	369283	72	18	43	663112
BdM1150pool08	87	58	45704	30	16	18	99068
BdM1143pool28	102	128	273822	77	1	21	564628
BdM1154pool08	97	20	22143	5	23	10	44879
BdM1149pool08	33	49	49141	21	24	8	97694
BdM1148pool28	18	12	99597	22	0	2943	203957
BdM1153pool08	97	40	80851	31	130	7	149903
BdM1142pool28	106	171	404583	81	5	63	778727
BdM1144pool28	85	69	300444	75	4	13	582884
BdM1149pool28	84	119	296283	41	33	29	601646
BdM1150pool28	53	53	169776	18	3	7	394363
BdM1162pool08	170	107	5286	18	4	0	10877
BdM1196pool05	1	0	0	3	2	1	1853
BdM1156pool08	110	45	70080	45	7	29	137983
BdM1159pool08	255	82	149498	46	11	35	272995
BdM1160pool08	229	212	240175	48	13	43	425369
BdM1158pool08	75	60	62867	10	4	24	123836
BdM1195pool05	9	6	2	7	3	7	5058
BdM1194pool05	3	0	0	6	3	19	5817
BdM1197pool05	2030	64	20	13	12	18	109811
BdM1198pool05	338	1	5	67	53	36	69080
BdM1155pool08	292	127	148656	107	6	32	300601
BdM1151pool28	113	40	301458	77	1	40	592192
BdM1200pool05	5834	246	29	75	50	161	386323
BdM1201pool05	152	5	7	60	36	159	46313
BdM1199pool22	919	84	22	123	101	322	143684
BdM1199pool05	240	29	14	81	35	123	62499
BdM1154pool28	27	46	170856	27	1	14	377826
BdM1163pool08	246	165	223179	85	19	67	390167
BdM1195pool22	814	786	33	119	110	250	179258
BdM1198pool22	7656	214	107	706	705	785	1026571
BdM1197pool22	8599	463	60	55	27	67	316787
BdM1194pool22	1851	1556	912	312	1438	626	1108738
BdM1211pool11	29	27	1	70710	790	92	157902
BdM1196pool22	26425	486	203	115	169	864	629227
BdM1152pool08	177	140	121938	39	104	37	325967
BdM1212pool11	93	56	24	81959	834	41	191036
BdM1162pool28	126	158	310851	82	3	43	606509
BdM1226pool11	496	552	0	5521	62	38	80959
BdM1221pool11	72	63	7	28256	350	70	73221
BdM1222pool11	22	13	6	9778	160	14	28594
BdM1220pool11	23593	23837	1	1009	7	0	7471
BdM1213pool11	47	33	3	35264	391	35	83814
BdM1216pool11	58	29	18	31172	327	60	87523
BdM1219pool11	26	24	3	27707	308	51	67845
BdM1161pool08	334	225	227649	80	23	62	411649
BdM1201pool22	44342	775	677	166	16	135	1322849
BdM1218pool11	280	97	140	117784	1570	252	415060
BdM1215pool11	120	89	28	106694	1294	208	273440
BdM1228pool11	181	58	0	54198	590	120	113513
BdM1227pool11	31	22	0	33012	363	24	63692
BdM1223pool11	89	42	10	55632	709	74	124438
BdM1224pool11	178	130	11	82211	1212	116	240999
BdM1227pool24	373	285	6	186478	1270	14	361776
BdM1226pool21	4359	4377	3	51537	475	67	613503
BdM1225pool11	253	76	14	118083	1443	106	253263
BdM1213pool24	584	285	31	276744	2123	391	552185
BdM1221pool21	466	538	6	224925	2191	674	564952
BdM1231pool05	100697	667	3	267	44	55	106915
BdM1223pool24	1092	799	14	362360	3397	152	738731
BdM1230pool24	125	79	11	199054	1645	10	415136
BdM1230pool11	56	16	2	33069	377	30	69300
BdM1232pool05	127082	394	5	170	18	27	124360
BdM1231pool27	64295	963	2	123	20	66	338263
BdM1233pool05	29830	20415	0	3	1	756	124492
BdM1229pool24	823	242	129	99712	921	4234	234793
BdM1217pool11	525	231	159	409631	4881	322	1058003
BdM1237pool05	228628	3	15	33	4	134	295312
BdM1235pool05	150108	1285	6	572	70	96	157492
BdM1234pool05	172747	115423	2	88	15	609	317542
BdM1236pool05	345727	2632	11	1448	146	410	351803
BdM1222pool24	102	163	7	255928	2412	63	590230
BdM1232pool27	227734	3146	3	229	33	104	326124
BdM1158pool28	9004	320	715	177	353	11	689724
BdM1246pool05	87460	7	2	7	7	52	114015
BdM1242pool27	48079	772	3	131	29	16	62378
BdM1242pool05	67570	599	2	272	37	30	66742
BdM1240pool05	233415	1858	8	953	111	137	238636
BdM1239pool05	193032	1000	7	41	24	84	211568
BdM1245pool05	208302	1372	11	525	82	171	234888
BdM1244pool05	312224	1070	1	527	54	446	331439
BdM1241pool27	89177	29879	6	192	34	11	260951
BdM1243pool05	223012	1185	11	675	94	125	233270
