sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1053pool24	2	0	0	31	2185	2	5012
BdM1029pool13	4412	0	0	0	0	1	1840
BdM1063pool24	4	0	0	21	1158	0	3665
BdM1057pool21	0	0	1	7	179	1	496
BdM1025pool13	40	0	0	0	0	0	86
BdM1020pool27	3220	1	0	1	0	0	995
BdM1058pool14	0	0	0	5	189	1	505
BdM1223pool24	14	1	0	10386	76	3	10576
BdM1201pool05	3	0	0	0	0	1	533
BdM1141pool28	10	17	124	5	6	1	18839
BdM1138pool08	0	0	0	0	0	0	16
BdM1195pool22	3	0	2	7	2	2	4013
BdM1195pool05	0	1	0	0	0	0	39
BdM1143pool08	0	0	144	0	0	0	341
BdM1023pool13	284	0	0	0	0	0	297
BdM1269pool24	2	0	0	6048	36	1	5669
BdM1075pool14	4	0	1	28	4088	1	3361
BdM1265pool19	3	52	2	0	0	3	1261
BdM1015pool13	10820	3	0	8	0	1	4887
BdM1194pool22	6	1	10	9	10	3	8121
BdM1137pool28	13	11	103	5	2	1	13769
BdM1266pool29	2	1782	4	0	0	1	2660
BdM1022pool27	1338	0	0	0	0	2	2362
BdM1055pool14	2	1	0	56	8264	1	8773
BdM1797pool34	12521	0	1	0	0	1	8543
BdM1132pool28	8	4	29	2	1	1	3974
BdM1013pool27	6837	0	2	1	0	3	3438
BdM1069pool24	1	0	1	23	1422	1	3455
BdM1135pool28	3	1	10683	2	0	1	7206
BdM1060pool14	0	0	0	0	8	0	30
BdM1236pool05	14142	9	0	11	1	1	4806
BdM1025pool27	6797	0	0	0	0	0	2985
BdM1131pool08	0	0	2525	0	0	1	1570
BdM1155pool08	1	1	8809	3	0	1	4670
BdM1018pool13	11338	0	0	5	2	1	5317
BdM1046pool27	4161	2	1	0	0	2	1443
BdM1046pool13	13061	1	0	0	3	3	8329
BdM1242pool27	1634	7	0	3	1	1	816
BdM1071pool24	1	2	0	24	1851	2	3586
BdM1798pool34	20288	0	0	0	0	3	9610
BdM1062pool14	0	0	0	0	30	0	97
BdM1247pool05	11528	0	0	1	1	1	8482
BdM1064pool24	0	0	0	11	983	3	2469
BdM1074pool14	34	3	0	91	10703	2	16343
BdM1237pool05	10763	0	0	1	0	1	6166
BdM1230pool24	6	2	0	7081	48	1	6371
BdM1243pool05	12123	11	0	6	0	1	3511
BdM1020pool13	535	0	0	0	0	0	505
BdM1219pool24	3	2	0	6147	33	1	5315
BdM1024pool13	3	0	1	0	0	0	21
BdM1227pool11	2	0	0	1500	12	1	1296
BdM1220pool21	1	0	0	135	2	1	3008
BdM1261pool12	1	4479	0	2	1	2	1692
BdM1196pool22	14	3	3	2	6	3	10989
BdM1035pool13	3892	0	0	0	0	1	1935
BdM1270pool11	5	1	0	5171	38	2	3865
BdM1223pool11	6	0	0	3206	23	1	2605
BdM1012pool13	8934	0	0	0	0	2	3770
BdM1041pool13	10639	4	0	4	1	1	5303
BdM1215pool11	4	3	0	6557	38	2	5757
BdM1232pool27	9869	11	0	6	0	2	3447
BdM1065pool14	5	2	0	6	962	1	890
BdM1777pool32	5	4	13261	3	3	1	24787
BdM1062pool24	0	4	0	86	4826	2	10362
BdM1200pool05	12	5	0	1	0	0	11243
BdM1149pool28	2	1	10199	1	1	1	8214
BdM1135pool08	0	0	357	0	0	0	564
BdM1801pool34	11262	0	0	0	0	3	2983
BdM1161pool08	1	5	12901	3	0	1	6568
BdM1796pool34	16032	1	0	1	0	3	6855
BdM1147pool08	0	1	192	0	0	1	406
